Published Date,URL
1996-05-05,https://www.nytimes.com/1996/05/05/magazine/sunday-may-5-1996-bug-eyed-the-bionic-cockroach.html
1996-07-25,https://www.nytimes.com/1996/07/25/arts/festival-review-music-composers-wanted-no-experience-needed.html
1996-05-06,https://www.nytimes.com/1996/05/06/nyregion/donald-fink-84-pioneer-in-tv-technology.html
1996-06-02,https://www.nytimes.com/1996/06/02/us/cuthbert-hurd-85-computer-pioneer-at-ibm.html
1996-07-16,https://www.nytimes.com/1996/07/16/science/personal-computers-new-movie-stars-often-surprising.html
1996-07-08,https://www.nytimes.com/1996/07/08/business/technology-connections-real-silicon-life-forms-science-artificial-life-orwell.html
1996-07-29,https://www.nytimes.com/1996/07/29/business/patents-owner-direct-mail-company-creates-system-send-electronic-ads-specific.html
1996-03-18,https://www.nytimes.com/1996/03/18/us/hans-joachim-bremermann-69-professor.html
1996-08-12,https://www.nytimes.com/1996/08/12/business/trying-to-shore-up-the-pc-s-immune-system.html
1996-05-27,https://www.nytimes.com/1996/05/27/us/for-some-graduation-is-sweeter.html
1996-07-16,https://www.nytimes.com/1996/07/16/opinion/science-set-free-from-truth.html
1995-11-19,https://www.nytimes.com/1995/11/19/business/inside-048216.html
1996-04-30,https://www.nytimes.com/1996/04/30/science/peripherals-a-bountiful-grab-bag-of-programs.html
1995-11-19,https://www.nytimes.com/1995/11/19/business/off-the-shelf-balancing-health-care-costs-without-a-safety-net.html
1996-05-26,https://www.nytimes.com/1996/05/26/business/mutual-funds-fidelity-s-managers-freewheeling-no-more.html
1996-01-07,https://www.nytimes.com/1996/01/07/education/blackboard-she-wants-your-ship-to-come-in.html
1996-03-10,https://www.nytimes.com/1996/03/10/books/science-fiction.html
1995-12-07,https://www.nytimes.com/1995/12/07/books/books-of-the-times-the-self-in-cyberspace-decentered-and-opaque.html
1996-02-20,https://www.nytimes.com/1996/02/20/books/books-of-the-times-don-t-hold-your-breath-for-later-model-humans.html
1996-01-29,https://www.nytimes.com/1996/01/29/business/media-press-joey-skaggs-who-delights-practical-jokes-press-has-got-million-them.html
